pid,date,week_in,dow_mod,holiday_mod,stand_mod,calendar_week_mod,work_orig_mod,recall_reliable_mod,work1_mod,work1_week_mod,work1_wkly2_mod,in_sample_mod,attend_week_mod,attend_nadj_mod,dow_orig,holiday_orig,stand_orig,calendar_week_orig,work1_orig,recall_length_orig,work_recall_mode_orig,work_recall_mode_any1_orig,grid_recall_anyinwk_orig,work1_week_orig,work1_wkly2_orig,in_sample_orig,attend_week_orig,attend_nadj_orig,day_present
147.0,2022-06-06,5.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,,4.0,False,,,1.0,0.0,1.0,23.0,1.0,1.0,1.0,1,1,,1.0,False,,,both
147.0,2022-06-07,5.0,2.0,0.0,1.0,23.0,1.0,1.0,1.0,7,4.0,True,6,2.0,2.0,0.0,1.0,23.0,1.0,,1.0,1,1,7,1.0,True,6,2.0,both
147.0,2022-06-08,5.0,3.0,0.0,1.0,23.0,1.0,1.0,1.0,,4.0,False,,,3.0,0.0,1.0,23.0,1.0,,1.0,1,1,,1.0,False,,,both
147.0,2022-06-09,5.0,4.0,0.0,1.0,23.0,0.0,1.0,0.0,,4.0,False,,,4.0,0.0,1.0,23.0,0.0,7.0,2.0,1,1,,1.0,False,,,both
147.0,2022-06-10,5.0,5.0,0.0,1.0,23.0,0.0,1.0,0.0,,4.0,False,,,5.0,0.0,1.0,23.0,0.0,6.0,2.0,1,1,,1.0,False,,,both
147.0,2022-06-11,5.0,6.0,0.0,1.0,23.0,0.0,1.0,0.0,,4.0,False,,,6.0,0.0,1.0,23.0,0.0,5.0,2.0,1,1,,1.0,False,,,both
147.0,2022-06-12,5.0,0.0,0.0,1.0,23.0,1.0,1.0,1.0,,4.0,False,,,0.0,0.0,1.0,23.0,1.0,4.0,2.0,1,1,,1.0,False,,,both
147.0,2022-06-13,6.0,1.0,0.0,1.0,24.0,0.0,1.0,0.0,,1.0,False,,,1.0,0.0,1.0,24.0,1.0,3.0,2.0,1,1,,0.0,False,,,both
147.0,2022-06-14,6.0,2.0,0.0,1.0,24.0,1.0,1.0,1.0,7,1.0,True,6,1.0,2.0,0.0,1.0,24.0,0.0,2.0,2.0,1,1,7,0.0,True,6,1.0,both
147.0,2022-06-15,6.0,3.0,0.0,1.0,24.0,0.0,1.0,0.0,,1.0,False,,,3.0,0.0,1.0,24.0,0.0,1.0,1.0,1,1,,0.0,False,,,both
147.0,2022-06-16,6.0,4.0,0.0,1.0,24.0,0.0,0.0,0.0,,1.0,False,,,4.0,0.0,1.0,24.0,0.0,4.0,2.0,1,1,,0.0,False,,,both
147.0,2022-06-17,6.0,5.0,0.0,1.0,24.0,0.0,0.0,0.0,,1.0,False,,,5.0,0.0,1.0,24.0,0.0,3.0,2.0,1,1,,0.0,False,,,both
147.0,2022-06-18,6.0,6.0,0.0,1.0,24.0,0.0,0.0,0.0,,1.0,False,,,6.0,0.0,1.0,24.0,0.0,2.0,2.0,1,1,,0.0,False,,,both
147.0,2022-06-19,6.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,,1.0,False,,,0.0,0.0,1.0,24.0,0.0,1.0,2.0,1,1,,0.0,False,,,both
151.0,2022-06-06,5.0,1.0,0.0,1.0,23.0,1.0,1.0,1.0,,4.0,False,,,1.0,0.0,1.0,23.0,1.0,1.0,1.0,1,1,,3.0,False,,,both
