pid,stand,strata,treatment,n_worker_weeks_mod,n_weeks_present_mod,any_nonmiss_y_mod,n_worker_weeks_orig,n_weeks_present_orig,any_nonmiss_y_orig,in_orig_regression,in_mod_regression
604,6,1,1,6,8,1,0,8,0,FALSE,TRUE
1511,15,3,1,2,8,1,0,8,0,FALSE,TRUE
1757,17,4,0,1,8,1,0,8,0,FALSE,TRUE
6826,17,2,0,2,8,1,0,8,0,FALSE,TRUE
6889,17,2,0,1,8,1,0,8,0,FALSE,TRUE
137,1,2,0,0,8,0,0,8,0,FALSE,FALSE
157,1,2,1,0,8,0,0,8,0,FALSE,FALSE
185,1,2,1,0,8,0,0,8,0,FALSE,FALSE
187,1,2,0,0,8,0,0,8,0,FALSE,FALSE
228,2,1,1,0,8,0,0,8,0,FALSE,FALSE
353,3,1,1,0,8,0,0,8,0,FALSE,FALSE
555,5,2,0,0,8,0,0,8,0,FALSE,FALSE
646,6,2,1,0,8,0,0,8,0,FALSE,FALSE
1333,13,3,1,0,8,0,0,8,0,FALSE,FALSE
1834,18,1,1,0,8,0,0,8,0,FALSE,FALSE
1839,18,3,1,0,8,0,0,8,0,FALSE,FALSE
2016,20,3,1,0,8,0,0,8,0,FALSE,FALSE
2020,20,3,1,0,8,0,0,8,0,FALSE,FALSE
2042,20,1,0,0,8,0,0,8,0,FALSE,FALSE
2119,1,2,0,0,8,0,0,8,0,FALSE,FALSE
2145,1,2,1,0,8,0,0,8,0,FALSE,FALSE
6866,17,4,0,0,8,0,0,8,0,FALSE,FALSE
6876,17,2,0,0,8,0,0,8,0,FALSE,FALSE
7700,16,1,0,0,8,0,0,8,0,FALSE,FALSE
7729,16,1,1,0,8,0,0,8,0,FALSE,FALSE
