pid,week_in,present,diff_outcome,diff_outcome_via_work1,diff_sample,only_in_mod,only_in_orig,work1_wkly2_mod,work1_wkly2_orig,diff_value,work1_wkly2_via_work1_mod,work1_wkly2_via_work1_orig,work1_week_mod,work1_week_orig,in_sample_week_mod,in_sample_week_orig,n_days_mod,n_days_orig,n_days_in_sample_mod,n_days_in_sample_orig,n_work1_nonmiss_mod,n_work1_nonmiss_orig
1779.0,1.0,both,True,True,True,False,False,6.0,,6.0,6.0,,7,,True,False,7,7,1,0,7,0
7732.0,3.0,both,True,False,True,False,False,6.0,,6.0,6.0,6.0,7,7,True,False,7,7,1,0,7,7
7732.0,4.0,both,True,False,True,False,False,5.0,,5.0,6.0,6.0,7,7,True,False,7,7,1,0,7,7
174.0,3.0,both,True,False,True,False,False,4.0,,4.0,4.0,4.0,4,4,True,False,7,7,1,0,4,4
1511.0,3.0,both,True,False,True,False,False,4.0,,4.0,4.0,4.0,5,5,True,False,7,7,1,0,5,5
604.0,4.0,both,True,False,True,False,False,3.0,,3.0,6.0,6.0,7,7,True,False,7,7,1,0,7,7
604.0,2.0,both,True,False,True,False,False,2.0,,2.0,4.0,4.0,6,6,True,False,7,7,1,0,6,6
1645.0,1.0,both,True,True,True,False,False,2.0,,2.0,2.0,0.0,7,5,True,False,7,7,1,0,7,5
6867.0,4.0,both,True,False,True,False,False,2.0,,2.0,2.0,2.0,5,5,True,False,7,7,1,0,5,5
7722.0,4.0,both,True,False,True,False,False,2.0,,2.0,2.0,2.0,7,7,True,False,7,7,1,0,7,7
7732.0,2.0,both,True,False,True,False,False,2.0,,2.0,4.0,4.0,4,4,True,False,7,7,1,0,4,4
604.0,3.0,both,True,True,True,False,False,1.0,,1.0,3.0,5.0,7,7,True,False,7,7,1,0,7,7
604.0,7.0,both,True,True,True,False,False,1.0,,1.0,3.0,7.0,7,7,True,False,7,7,1,0,7,7
1757.0,8.0,both,True,False,True,False,False,1.0,,1.0,6.0,6.0,6,6,True,False,6,6,1,0,6,6
6867.0,3.0,both,True,False,True,False,False,1.0,,1.0,1.0,1.0,7,7,True,False,7,7,1,0,7,7
537.0,4.0,both,True,True,True,False,False,0.0,,0.0,3.0,4.0,7,7,True,False,7,7,1,0,7,7
604.0,1.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,7,7,True,False,7,7,1,0,7,7
604.0,6.0,both,True,True,True,False,False,0.0,,0.0,5.0,7.0,7,7,True,False,7,7,1,0,7,7
673.0,8.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,2,2,True,False,6,6,1,0,2,2
1511.0,2.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,4,4,True,False,7,7,1,0,4,4
1530.0,7.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,7,7,True,False,7,7,1,0,7,7
1640.0,8.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,6,6,True,False,6,6,1,0,6,6
1772.0,8.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,3,3,True,False,6,6,1,0,3,3
6803.0,1.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,7,7,True,False,7,7,1,0,7,7
6826.0,7.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,6,6,True,False,7,7,1,0,6,6
6826.0,8.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,1,1,True,False,6,6,1,0,1,1
6863.0,8.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,6,6,True,False,6,6,1,0,6,6
6867.0,2.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,6,6,True,False,7,7,1,0,6,6
6867.0,5.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,2,2,True,False,7,7,1,0,2,2
6889.0,8.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,6,6,True,False,6,6,1,0,6,6
7722.0,3.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,7,7,True,False,7,7,1,0,7,7
7728.0,2.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,6,6,True,False,7,7,1,0,6,6
7728.0,3.0,both,True,False,True,False,False,0.0,,0.0,0.0,0.0,6,6,True,False,7,7,1,0,6,6
174.0,4.0,both,True,False,False,False,False,6.0,1.0,5.0,6.0,6.0,7,7,True,True,7,7,1,1,7,7
229.0,3.0,both,True,False,False,False,False,7.0,2.0,5.0,7.0,7.0,7,7,True,True,7,7,1,1,7,7
147.0,5.0,both,True,False,False,False,False,4.0,1.0,3.0,4.0,4.0,7,7,True,True,7,7,1,1,7,7
225.0,5.0,both,True,True,False,False,False,4.0,1.0,3.0,4.0,7.0,6,7,True,True,7,7,1,1,6,7
303.0,1.0,both,True,False,False,False,False,5.0,2.0,3.0,6.0,6.0,7,7,True,True,7,7,1,1,7,7
1779.0,2.0,both,True,True,False,False,False,5.0,2.0,3.0,5.0,2.0,7,6,True,True,7,7,1,1,7,6
6875.0,8.0,both,True,False,False,False,False,5.0,2.0,3.0,5.0,5.0,6,6,True,True,6,6,1,1,6,6
238.0,7.0,both,True,False,False,False,False,5.0,3.0,2.0,5.0,5.0,6,6,True,True,7,7,1,1,6,6
311.0,4.0,both,True,False,False,False,False,6.0,4.0,2.0,6.0,6.0,7,7,True,True,7,7,1,1,7,7
664.0,1.0,both,True,False,False,False,False,2.0,0.0,2.0,2.0,2.0,7,7,True,True,7,7,1,1,7,7
666.0,1.0,both,True,False,False,False,False,2.0,0.0,2.0,2.0,2.0,7,7,True,True,7,7,1,1,7,7
677.0,1.0,both,True,False,False,False,False,7.0,5.0,2.0,7.0,7.0,7,7,True,True,7,7,1,1,7,7
1542.0,8.0,both,True,False,False,False,False,6.0,4.0,2.0,6.0,6.0,6,6,True,True,6,6,1,1,6,6
2129.0,1.0,both,True,False,False,False,False,4.0,2.0,2.0,4.0,4.0,7,7,True,True,7,7,1,1,7,7
6860.0,8.0,both,True,False,False,False,False,3.0,1.0,2.0,3.0,3.0,6,6,True,True,6,6,1,1,6,6
6869.0,8.0,both,True,False,False,False,False,5.0,3.0,2.0,5.0,5.0,6,6,True,True,6,6,1,1,6,6
7722.0,5.0,both,True,False,False,False,False,4.0,2.0,2.0,4.0,4.0,7,7,True,True,7,7,1,1,7,7
147.0,6.0,both,True,False,False,False,False,1.0,0.0,1.0,1.0,1.0,7,7,True,True,7,7,1,1,7,7
151.0,5.0,both,True,False,False,False,False,4.0,3.0,1.0,4.0,4.0,7,7,True,True,7,7,1,1,7,7
197.0,4.0,both,True,False,False,False,False,4.0,3.0,1.0,4.0,4.0,7,7,True,True,7,7,1,1,7,7
217.0,1.0,both,True,False,False,False,False,5.0,4.0,1.0,5.0,5.0,7,7,True,True,7,7,1,1,7,7
217.0,5.0,both,True,False,False,False,False,5.0,4.0,1.0,5.0,5.0,7,7,True,True,7,7,1,1,7,7
229.0,4.0,both,True,True,False,False,False,5.0,4.0,1.0,5.0,7.0,7,7,True,True,7,7,1,1,7,7
602.0,1.0,both,True,False,False,False,False,7.0,6.0,1.0,7.0,7.0,7,7,True,True,7,7,1,1,7,7
607.0,1.0,both,True,False,False,False,False,7.0,6.0,1.0,7.0,7.0,7,7,True,True,7,7,1,1,7,7
630.0,1.0,both,True,False,False,False,False,1.0,0.0,1.0,1.0,1.0,7,7,True,True,7,7,1,1,7,7
655.0,1.0,both,True,False,False,False,False,2.0,1.0,1.0,2.0,2.0,7,7,True,True,7,7,1,1,7,7
672.0,1.0,both,True,False,False,False,False,3.0,2.0,1.0,3.0,3.0,7,7,True,True,7,7,1,1,7,7
1367.0,2.0,both,True,True,False,False,False,2.0,1.0,1.0,2.0,1.0,7,7,True,True,7,7,1,1,7,7
1376.0,8.0,both,True,True,False,False,False,2.0,1.0,1.0,2.0,4.0,6,6,True,True,6,6,1,1,6,6
1523.0,8.0,both,True,False,False,False,False,2.0,1.0,1.0,2.0,2.0,6,6,True,True,6,6,1,1,6,6
1611.0,4.0,both,True,False,False,False,False,4.0,3.0,1.0,4.0,4.0,6,6,True,True,7,7,1,1,6,6
1620.0,4.0,both,True,False,False,False,False,6.0,5.0,1.0,6.0,6.0,7,7,True,True,7,7,1,1,7,7
1634.0,8.0,both,True,False,False,False,False,4.0,3.0,1.0,4.0,4.0,6,6,True,True,6,6,1,1,6,6
1658.0,4.0,both,True,False,False,False,False,3.0,2.0,1.0,3.0,3.0,5,5,True,True,7,7,1,1,5,5
1658.0,8.0,both,True,False,False,False,False,2.0,1.0,1.0,5.0,5.0,6,6,True,True,6,6,1,1,6,6
1679.0,2.0,both,True,False,False,False,False,3.0,2.0,1.0,3.0,3.0,4,4,True,True,7,7,1,1,4,4
1679.0,8.0,both,True,False,False,False,False,3.0,2.0,1.0,3.0,3.0,6,6,True,True,6,6,1,1,6,6
1683.0,6.0,both,True,False,False,False,False,1.0,0.0,1.0,2.0,2.0,7,7,True,True,7,7,1,1,7,7
1685.0,8.0,both,True,False,False,False,False,2.0,1.0,1.0,2.0,2.0,3,3,True,True,6,6,1,1,3,3
1747.0,8.0,both,True,False,False,False,False,1.0,0.0,1.0,1.0,1.0,6,6,True,True,6,6,1,1,6,6
1843.0,8.0,both,True,True,False,False,False,2.0,1.0,1.0,2.0,3.0,5,5,True,True,6,6,1,1,5,5
2004.0,1.0,both,True,False,False,False,False,7.0,6.0,1.0,7.0,7.0,7,7,True,True,7,7,1,1,7,7
6843.0,6.0,both,True,False,False,False,False,6.0,5.0,1.0,6.0,6.0,7,7,True,True,7,7,1,1,7,7
6873.0,7.0,both,True,False,False,False,False,1.0,0.0,1.0,1.0,1.0,7,7,True,True,7,7,1,1,7,7
7722.0,7.0,both,True,False,False,False,False,3.0,2.0,1.0,3.0,3.0,7,7,True,True,7,7,1,1,7,7
7728.0,4.0,both,True,False,False,False,False,2.0,1.0,1.0,2.0,2.0,7,7,True,True,7,7,1,1,7,7
230.0,6.0,both,True,True,False,False,False,1.0,2.0,-1.0,1.0,2.0,7,7,True,True,7,7,1,1,7,7
1302.0,5.0,both,True,True,False,False,False,3.0,4.0,-1.0,3.0,4.0,7,7,True,True,7,7,1,1,7,7
1335.0,4.0,both,True,False,False,False,False,1.0,2.0,-1.0,2.0,2.0,7,7,True,True,7,7,1,1,7,7
1381.0,3.0,both,True,True,False,False,False,1.0,2.0,-1.0,1.0,2.0,7,7,True,True,7,7,1,1,7,7
1381.0,4.0,both,True,True,False,False,False,4.0,5.0,-1.0,4.0,5.0,7,7,True,True,7,7,1,1,7,7
1623.0,5.0,both,True,True,False,False,False,5.0,6.0,-1.0,5.0,6.0,7,7,True,True,7,7,1,1,7,7
1642.0,6.0,both,True,True,False,False,False,3.0,4.0,-1.0,3.0,4.0,7,7,True,True,7,7,1,1,7,7
1704.0,8.0,both,True,True,False,False,False,0.0,1.0,-1.0,1.0,2.0,4,4,True,True,6,6,1,1,4,4
2021.0,6.0,both,True,True,False,False,False,3.0,4.0,-1.0,3.0,4.0,7,7,True,True,7,7,1,1,7,7
2029.0,7.0,both,True,True,False,False,False,3.0,4.0,-1.0,3.0,4.0,7,7,True,True,7,7,1,1,7,7
2107.0,1.0,both,True,True,False,False,False,0.0,1.0,-1.0,0.0,1.0,1,1,True,True,7,7,1,1,1,1
2110.0,4.0,both,True,False,False,False,False,3.0,4.0,-1.0,4.0,4.0,7,7,True,True,7,7,1,1,7,7
2149.0,4.0,both,True,False,False,False,False,5.0,6.0,-1.0,7.0,7.0,7,7,True,True,7,7,1,1,7,7
6848.0,6.0,both,True,True,False,False,False,5.0,6.0,-1.0,5.0,6.0,7,7,True,True,7,7,1,1,7,7
1335.0,3.0,both,True,False,False,False,False,3.0,5.0,-2.0,6.0,6.0,6,7,True,True,7,7,1,1,6,7
